	Variable Name	English	ASDF
[BS_GFxHUDMoviePlayer]			
	AbilitiesStr	Abilities	asdf
	HotkeyStr	Hot Key	asdf
	PassiveAbilityStr	Passive Ability	asf
	TurnNumberString	Turn	asdf
	PlayerTurnString	Player's Turn	asdf
	EnemyTurnString	Enemy's Turn	asdf
	VictoryString	Victory!	asdf
	DefeatString	Defeat	asdf
	APLeftString	AP:	asdf
	HPString	HP:	adsf
	AtkString	Atk:	asdf
	ClassString	Class:	asdf
	BjornName	Bjorn	adsf
	DagName	Dag	fasd
	FreyaName	Freya	fasd
	IlianaName	Iliana	asdf
	BanditName	Bandit	asdf
	BanditAxeThrowerName	Bandit Axe Thrower	asdf
	BanditSummonerName	Bandit Summoner	asdf
	BanditSeerGuardName	Bandit Seer	asdf
	Loki	Loki	asdf
	BerserkerClassName	Berserker	adsf
	AxeThrowerClassName	Axe Thrower	asdf
	ShieldMaidenClassName	Shield Maiden	asdf
	SeerClassName	Seer	adsf
	VikingEnemyClassName	Viking	fasd
	WhirlwindName	Whirlwind	fasd
	WhirlwindDescription	Bjorn's standard attack. He always hits all enemies within range.	asdf
	ChargeName	Charge	asdf
	ChargeDescription	Melee units may charge at any character within twice their movement range.	asdf
	HealName	Drink	asdf
	HealDescription	Drink mead to restore 50 HP. Cannot use on allies. 2 uses per battle.	asdf
	PullName	Pull	asdf
	PullDescription	"Freya throws a chained spear at a target and yanks it back, pulling the target toward her."	adsf
	VortexName	Vortex	asdf
	VortexDescription	Places a vortex that sucks enemies toward it.	asdf
	KickName	Kick	adsf
	KickDescription	Knocks back target foe with a mighty kick.	fasd
	ActionsMouseControlsUse	Use	fasd
	ActionsMouseControlsDeselect	Deselect	asdf
	EndTurnButtonName	End Turn	asdf
	DialogueButtonName	Continue	asdf
	DialogueTest	"I am Bjorn Snorison, son of Snori Snorison. A man amoung men. Master of the axe and breaker of skulls!"	asdf
	DialogueLevel1	Bjorn><Bjorn>No... Not yet...	asdf
	DialogueLevel1	Freya><Freya>Go on without me...	asdf
	DialogueLevel1	"Dag><Dag>Kill, kill, kill, kill, noooo!"	adsf
	DialogueLevel1	"Iliana><Iliana>Gods, why..?"	asdf
	DialogueLevel1	Freya><Freya>Hover the cursor over a unit and left click to select it. Start by clicking the CONTINUE button and select Freya.	asdf
	DialogueLevel1	"Freya><Freya>Once the unit is selected, it can perform actions. The blue circle indicates the unit's movement range."	adsf
	DialogueLevel1	Freya><Freya>The red circle indicates the unit's attack range.	fasd
	DialogueLevel1	"Freya><Freya>Start by attacking the enemy unit in front of Freya. Hover the cursor over the enemy unit and it will become a sword,"	fasd
	DialogueLevel1	Freya><Freya>indicating a valid attack target. Right click the enemy to attack.	asdf
	DialogueLevel1	"Freya><Freya>Now that the enemy is dead, let's move Freya around."	asdf
	DialogueLevel1	Freya><Freya>Right click anywhere inside the blue circle and Freya will move to that location.	asdf
	DialogueLevel1	Bjorn><Bjorn>Each unit has different abilities. PASSIVE ABILITIES such as WHIRLWIND do not require the player to activate them.	asdf
	DialogueLevel1	Bjorn><Bjorn>Whirlwind makes Bjorn's attack hit all enemies in his attack circle. Try attacking one of the enemies surrounding Bjorn 	asdf
	DialogueLevel1	"Bjorn><Bjorn>ACTIVE ABILITIES like CHARGE require clicking its button on the HUD with left click, or using the hotkeys indicated in the description."	asdf
	DialogueLevel1	"Bjorn><Bjorn>After selecting the ability, the cursor changes to a magic hammer. Right click the unit you wish to target."	adsf
	DialogueLevel1	Dag><Dag>Ranged units have a smaller movement range but larger attack range. Use Dag to kill the two enemies.	asdf
	DialogueLevel1	Iliana><Iliana>Some abilities allow units to push and pull other units. Iliana's VORTEX is one such ability.	asdf
	DialogueLevel1	"Iliana><Iliana>When the ability is selected, a green circle appears around the cursor. This is the ability's area of effect."	adsf
	DialogueLevel1	Iliana><Iliana>VORTEX will pull any unit in the radius toward the center. Select Iliana and use Vortex to pull the enemies together.	fasd
	DialogueLevel1	Iliana><Iliana>LIGHTNING STORM is an ability that deals damage at a distance. Its placement is handled in the same way as VORTEX	fasd
	DialogueLevel1	Iliana><Iliana>Use LIGHTNING STORM to attack enemies.	asdf
	DialogueLevel1	Freya><Freya>All the information for the unit is displayed on the HUD at the top left corner. Each action costs ACTION POINTS.	asdf
	DialogueLevel1	Freya><Freya>When the unit runs out of ACTION POINTS you will not be able to use that unit again until the next turn.	asdf
	DialogueLevel1	"Freya><Freya>Freya now has no action points left, so you will have to use another unit. Select Bjorn the Berserker."	asdf
	DialogueLevel1	"Bjorn><Bjorn>If you move the cursor over the abilities, a description of that ability pops up. Try attacking one of the enemies surrounding Bjorn."""	asdf
	DialogueLevel1	Bjorn><Bjorn>Charge lets the unit dash toward an enemy within twice its movement range and deal damage. Try charging the enemy unit in front of you.	asdf
	DialogueLevel1	"Iliana><Iliana>When all of your units run out of ACTION POINTS, the enemy turn begins."	adsf
	DialogueLevel1	"Bandit><Bandit>When a melee unit attacks another unit, those two units become COMBAT LOCKED."	asdf
	DialogueLevel1	"Bandit><Bandit>While in COMBAT LOCK, units cannot move, and ranged units must spend 2 ACTION POINTS to perform most actions."	asdf
	DialogueLevel1	"Bandit><Bandit>COMBAT LOCK can be broken by killing the unit that initiated it, or by using certain skills such as VORTEX."	adsf
	DialogueLevel1	"Dag><Dag>Start by healing DAG. Select him and use the DRINK ability. Since he is in COMBAT LOCK, this will cost both of his ACTION POINTS."	fasd
	DialogueLevel1	Dag><Dag>Now use what you have learned to get DAG out of COMBAT LOCK and defeat the last enemy.	fasd
	DialogueLevel3	"Dag,Bjorn><Dag>The village burns...<Bjorn>And our shelter with it."	asdf
	DialogueLevel3	Bandit_Summoner><Bandit_Summoner>We'll get 'em this time!	asdf
	DialogueLevel3	Freya><Freya>Bandits!	asdf
	DialogueLevel3	Bandit_Summoner><Bandit_Summoner>...But we'll need backup.	asdf
	DialogueLevel3	Iliana><Iliana>Summoners. They're calling reinforcements.	asdf
	DialogueLevel3	"Dag><Dag>We'll have to cut them down then, or fight forever."	asdf
	DialogueLevel3	Bandit_Summoner><Bandit_Summoner>Summoners down! Pick up the pace!	adsf
	DialogueLevel3	Bandit><Bandit>These punks are tougher than we thought... Book it!	asdf
	DialogueLevel3	"Iliana,Freya><Iliana>Running away, eh?<Freya>The more loot for us. Load the wagon and let's get outta' here."	asdf
	DialogueLevel4	"Bandit_Axe_Thrower,Bandit><Bandit_Axe_Thrower>The ambush is in place, sir.<Bandit>Perfect. There's no getting out of this one alive!<Bandit_Axe_Thrower>Well there are the gates, sir.<Bandit>Ah yes, gates. My mortal foe...<Bandit>Well we will just have to hope they don't think of that, then.<Bandit_Axe_Thrower>Yes sir!"	adsf
	DialogueLevel4	"Iliana,Dag><Iliana>Yggdrasil at last! What a thing to behold.<Dag>These roots are as big as my... well..."	fasd
	DialogueLevel4	Bandit><Bandit>AAAAAMBUUUUUSH!	fasd
	DialogueLevel4	Dag><Dag>Again?	asdf
	DialogueLevel4	Freya><Freya>Damn fools. Let's make this quick. We have a tree to climb.	asdf
	DialogueLevel4	"Bjorn,Freya><Bjorn>That should hold them.<Freya>But not for long.<Bjorn>Aye. Up the tree we go."	asdf
	DialogueLevel5	Bandit><Bandit>I've squandered my resources. To think they'd be so resilient.	asdf
	DialogueLevel5	Bandit><Bandit>I'll have to resort to more serious measures.	asdf
	DialogueLevel5	"Iliana><Iliana>Stop. Something isn't right. I sense magic, but of a darker kind."	asdf
	DialogueLevel5	Bjorn><Bjorn>What's that ahead?	adsf
	DialogueLevel5	Dag><Dag>There's your dark magic. It's blocking our path.	asdf
	DialogueLevel6	Dag><Dag>The Gates of Asgard.	asdf
	DialogueLevel6	Iliana><Iliana>Our journey comes to a close.	adsf
	DialogueLevel6	Freya><Freya>Who-?	fasd
	DialogueLevel6	Bjorn><Bjorn>Loki!	fasd
